"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
4.2,0.,1,4.2,0.,2,4.2,0.,3,4.2,0.,4,4.2,0.,5,.432e-13,.900e-13,.120e-4,.48e-5,.19560e-1,.300e-1,.228,.48,.61842e-10,.8004e-10,.5580e-4,.516e-4
4.12888222309708,72.0042100000000,0,4.07705973669909,39.0631948062007,0,4.03586620451046,27.1960133984874,0,3.99862728110875,21.2643574224435,0,3.96320826027313,17.7062781693186,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12888222309708,144.008420000000,0,4.07705973669909,78.1263896124013,0,4.03586620451046,54.3920267969748,0,3.99862728110874,42.528714844887,0,3.96320826027313,35.4125563386371,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12160057616233,216.012630000000,0,4.07705973669909,117.189584418602,0,4.03586620451046,81.5880401954621,0,3.99862728110874,63.7930722673304,0,3.96320826027313,53.1188345079557,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08936295521638,288.016840000000,0,4.07705973669909,156.252779224803,0,4.03586620451045,108.78405359395,0,3.99862728110874,85.0574296897739,0,3.96320826027313,70.8251126772742,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05870844726487,360.021050000000,0,4.07705973669909,195.315974031003,0,4.03586620451045,135.980066992437,0,3.99862728110874,106.321787112217,0,3.96320826027313,88.5313908465928,0,0,0,0,0,0,0,0,0,0,0,0,0
4.03048551565995,432.025260000000,0,4.0480293058025,234.379168837204,0,4.03586620451046,163.176080390924,0,3.99862728110874,127.586144534661,0,3.96320826027313,106.237669015911,0,0,0,0,0,0,0,0,0,0,0,0,0
4.00517971832084,504.029470000000,0,4.01653378665616,273.442363643405,0,4.03586620451045,190.372093789412,0,3.99862728110874,148.850501957104,0,3.96320826027313,123.94394718523,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98222455486942,576.033680000000,0,3.98743507628263,312.505558449605,0,4.01394953534622,217.568107187899,0,3.99862728110874,170.114859379548,0,3.96320826027313,141.650225354548,0,0,0,0,0,0,0,0,0,0,0,0,0
3.96071174591784,648.037890000000,0,3.96130910477376,351.568753255806,0,3.98132214783382,244.764120586386,0,3.99862728110874,191.379216801991,0,3.96320826027313,159.356503523867,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93977949053086,720.042100000000,0,3.9374422488534,390.631948062007,0,3.95123957275219,271.960133984874,0,3.9776470914423,212.643574224435,0,3.96320826027313,177.062781693186,0,0,0,0,0,0,0,0,0,0,0,0,0
3.91859597239092,792.046310000000,0,3.91480401252034,429.695142868207,0,3.9243131266145,299.156147383361,0,3.94392183960945,233.907931646878,0,3.96320826027313,194.769059862504,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89634565201721,864.050520000000,0,3.89237230136028,468.758337674408,0,3.89966595620972,326.352160781849,0,3.91322444494464,255.172289069322,0,3.93750137784665,212.475338031823,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87247957756168,936.054730000000,0,3.86912839507948,507.821532480609,0,3.87614118916999,353.548174180336,0,3.88582142901895,276.436646491765,0,3.90319916390915,230.181616201141,0,0,0,0,0,0,0,0,0,0,0,0,0
3.84770369325345,1008.05894000000,0,3.84411818823916,546.884727286809,0,3.85258163943,380.744187578823,0,3.86052099990351,297.701003914209,0,3.87254342043016,247.88789437046,0,0,0,0,0,0,0,0,0,0,0,0,0
3.82310217370752,1080.06315000000,0,3.81760267376416,585.94792209301,0,3.82782901804022,407.940200977311,0,3.83601084126279,318.965361336652,0,3.84499834241182,265.594172539778,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79973462963989,1152.06736000000,0,3.79093037168305,625.01111689921,0,3.80102550132918,435.136214375798,0,3.81097733655064,340.229718759096,0,3.81909053247402,283.300450709097,0,0,0,0,0,0,0,0,0,0,0,0,0
3.77808613470796,1224.07157000000,0,3.76548217488836,664.074311705411,0,3.77309609455907,462.332227774285,0,3.78412259939469,361.494076181539,0,3.79333665799512,301.006728878416,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7580741964436,1296.07578000000,0,3.74202074516214,703.137506511612,0,3.74562647869344,489.528241172773,0,3.75531320852575,382.758433603983,0,3.76625214693331,318.713007047734,0,0,0,0,0,0,0,0,0,0,0,0,0
3.73959237945932,1368.07999000000,0,3.72047264519898,742.200701317813,0,3.72001990151844,516.72425457126,0,3.72618885567293,404.022791026426,0,3.7368078588841,336.419285217053,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72253403865339,1440.08420000000,0,3.7007033626592,781.263896124013,0,3.69657101301184,543.920267969748,0,3.69850534678497,425.28714844887,0,3.70630327615032,354.125563386371,0,0,0,0,0,0,0,0,0,0,0,0,0
3.70679228669384,1512.08841000000,0,3.68257706679133,820.327090930214,0,3.67512683503459,571.116281368235,0,3.67317874117576,446.551505871313,0,3.67675123036204,371.83184155569,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69225996653012,1584.09262000000,0,3.66595700551907,859.390285736414,0,3.65553219317853,598.312294766722,0,3.6500873629131,467.815863293756,0,3.64962849459612,389.538119725008,0,0,0,0,0,0,0,0,0,0,0,0,0
3.67882964063876,1656.09683000000,0,3.6507072553802,898.453480542615,0,3.63763015095369,625.50830816521,0,3.62906061168104,489.0802207162,0,3.62498270060262,407.244397894327,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66639370204107,1728.10104000000,0,3.63668966698584,937.516675348816,0,3.62126452126337,652.704321563697,0,3.60991382718805,510.344578138643,0,3.60261200940765,424.950676063645,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65484433308504,1800.10525000000,0,3.6237672073275,976.579870155016,0,3.60627881904823,679.900334962184,0,3.5924760759915,531.608935561087,0,3.58231247587425,442.656954232964,0,0,0,0,0,0,0,0,0,0,0,0,0
3.644073513531,1872.10946000000,0,3.61180190385707,1015.64306496122,0,3.59251609103791,707.096348360672,0,3.57656268826696,552.87329298353,0,3.56388280375963,460.363232402283,0,0,0,0,0,0,0,0,0,0,0,0,0
3.63397300909598,1944.11367000000,0,3.60065481608679,1054.70625976742,0,3.5798188564774,734.292361759159,0,3.56199832930426,574.137650405974,0,3.54712410434784,478.069510571601,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62443436229433,2016.11788000000,0,3.59018806490758,1093.76945457362,0,3.56802785180687,761.488375157646,0,3.54860332740982,595.402007828417,0,3.53183126875918,495.77578874092,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6153489896679,2088.12209000000,0,3.5802616826253,1132.83264937982,0,3.55698434840647,788.684388556134,0,3.53619535226214,616.666365250861,0,3.51780015870459,513.482066910238,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60660841538114,2160.12630000000,0,3.5707369459285,1171.89584418602,0,3.54652942258736,815.880401954621,0,3.52459468346361,637.930722673304,0,3.50482889562734,531.188345079557,0,0,0,0,0,0,0,0,0,0,0,0,0
3.59810531075657,2232.13051000000,0,3.56147603100087,1210.95903899222,0,3.53650369758132,843.076415353109,0,3.51362026677118,659.195080095748,0,3.49271243839923,548.894623248875,0,0,0,0,0,0,0,0,0,0,0,0,0
3.58973250856542,2304.13472000000,0,3.55234055687577,1250.02223379842,0,3.52674900027722,870.272428751596,0,3.50309041993154,680.459437518191,0,3.48124372887021,566.600901418194,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5813825816872,2376.13893000000,0,3.54319286196787,1289.08542860462,0,3.5171070982059,897.468442150083,0,3.49282472097424,701.723794940635,0,3.47021749663943,584.307179587512,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5729478876973,2448.14314000000,0,3.53389325548312,1328.14862341082,0,3.5074188565951,924.664455548571,0,3.48264235201373,722.988152363078,0,3.45942953160759,602.013457756831,0,0,0,0,0,0,0,0,0,0,0,0,0
3.56432047306211,2520.14735000000,0,3.52430218540034,1367.21181821702,0,3.49752403895485,951.860468947058,0,3.47236125501982,744.252509785522,0,3.44867448309957,619.71973592615,0,0,0,0,0,0,0,0,0,0,0,0,0
3.55539200196964,2592.15156000000,0,3.5142788576003,1406.27501302322,0,3.48726100962377,979.056482345546,0,3.46179779968949,765.516867207965,0,3.43774510870351,637.426014095468,0,0,0,0,0,0,0,0,0,0,0,0,0
3.54605365353663,2664.15577000000,0,3.50368066888685,1445.33820782942,0,3.47646633087425,1006.25249574403,0,3.45076628960745,786.781224630409,0,3.42643185450692,655.132292264787,0,0,0,0,0,0,0,0,0,0,0,0,0
3.53619599530614,2736.15998000000,0,3.49236396385394,1484.40140263563,0,3.46497446443685,1033.44850914252,0,3.43907826224666,808.045582052852,0,3.41452215567878,672.838570434105,0,0,0,0,0,0,0,0,0,0,0,0,0
3.52570883867734,2808.16419000000,0,3.48018200974149,1523.46459744183,0,3.45261666820021,1060.64452254101,0,3.42654150560066,829.309939475296,0,3.40179941000735,690.544848603424,0,0,0,0,0,0,0,0,0,0,0,0,0
3.51448093025652,2880.16840000000,0,3.46698505346275,1562.52779224803,0,3.43921938350915,1087.8405359395,0,3.41295865807854,850.574296897739,0,3.38804147654654,708.251126772742,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50239953794113,2952.17261000000,0,3.45261804438917,1601.59098705423,0,3.42460287338512,1115.03654933798,0,3.39812520344401,871.838654320183,0,3.37301859905781,725.957404942061,0,0,0,0,0,0,0,0,0,0,0,0,0
