"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
4.2,0.,1,4.2,0.,2,4.2,0.,3,4.2,0.,4,4.2,0.,5,.864e-13,.900e-13,.60e-5,.96e-5,.39120e-1,.150e-1,.228,.48,.123684e-9,.16008e-9,.5580e-4,.516e-4
4.14957125091008,72.0042100000000,0,4.09399642318762,39.1931753437253,0,4.04242247163397,26.9693282424779,0,3.99471260658221,20.8595939599321,0,3.95072189896942,17.1948900580705,0,0,0,0,0,0,0,0,0,0,0,0,0
4.14957125091009,144.008420000000,0,4.09399642318762,78.3863506874506,0,4.04242247163397,53.9386564849559,0,3.99471260658221,41.7191879198642,0,3.95072189896942,34.3897801161409,0,0,0,0,0,0,0,0,0,0,0,0,0
4.14167779906378,216.012630000000,0,4.09399642318761,117.579526031176,0,4.04242247163397,80.9079847274338,0,3.99471260658221,62.5787818797963,0,3.95072189896942,51.5846701742114,0,0,0,0,0,0,0,0,0,0,0,0,0
4.10719845567235,288.016840000000,0,4.09399642318762,156.772701374901,0,4.04242247163397,107.877312969912,0,3.99471260658221,83.4383758397285,0,3.95072189896943,68.7795602322818,0,0,0,0,0,0,0,0,0,0,0,0,0
4.07522940717507,360.021050000000,0,4.09399642318762,195.965876718627,0,4.04242247163397,134.84664121239,0,3.99471260658222,104.297969799661,0,3.95072189896943,85.9744502903523,0,0,0,0,0,0,0,0,0,0,0,0,0
4.04631457185873,432.025260000000,0,4.06337652026242,235.159052062352,0,4.04242247163397,161.815969454868,0,3.99471260658221,125.157563759593,0,3.95072189896943,103.169340348423,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02044735748874,504.029470000000,0,4.03182705510283,274.352227406077,0,4.04242247163397,188.785297697346,0,3.99471260658221,146.017157719525,0,3.95072189896942,120.364230406493,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99698446040642,576.033680000000,0,4.00357153511973,313.545402749802,0,4.02375108172007,215.754625939823,0,3.99471260658222,166.876751679457,0,3.95072189896942,137.559120464564,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97507785741439,648.037890000000,0,3.97800343124854,352.738578093528,0,3.99407946939073,242.723954182301,0,3.99471260658222,187.736345639389,0,3.95072189896942,154.754010522634,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95377279816069,720.042100000000,0,3.95426575002609,391.931753437253,0,3.96714393519091,269.693282424779,0,3.98253792271017,208.595939599321,0,3.95072189896942,171.948900580705,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93214984955406,792.046310000000,0,3.9312270611167,431.124928780978,0,3.94226033915513,296.662610667257,0,3.95471784016462,229.455533559253,0,3.95072189896943,189.143790638775,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9093726976386,864.050520000000,0,3.90769665116334,470.318104124704,0,3.91850755375219,323.631938909735,0,3.92888046523091,250.315127519185,0,3.94056781862245,206.338680696845,0,0,0,0,0,0,0,0,0,0,0,0,0
3.88532064247869,936.054730000000,0,3.88265358659757,509.511279468429,0,3.89465027734568,350.601267152213,0,3.90432557980459,271.174721479117,0,3.91414266963322,223.533570754916,0,0,0,0,0,0,0,0,0,0,0,0,0
3.86087068954739,1008.05894000000,0,3.85638128816959,548.704454812154,0,3.86943889821818,377.570595394691,0,3.87997980290002,292.03431543905,0,3.88886708656988,240.728460812986,0,0,0,0,0,0,0,0,0,0,0,0,0
3.8369927302469,1080.06315000000,0,3.83008876983044,587.89763015588,0,3.84269377275519,404.539923637169,0,3.8544794340893,312.893909398982,0,3.8639112135072,257.923350871057,0,0,0,0,0,0,0,0,0,0,0,0,0
3.81456538762001,1152.06736000000,0,3.80502402681084,627.090805499605,0,3.81565473212515,431.509251879647,0,3.82726352671909,333.753503358914,0,3.83796635817481,275.118240929127,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79377760017289,1224.07157000000,0,3.78187797396139,666.28398084333,0,3.78968679006596,458.478580122125,0,3.79954536092694,354.613097318846,0,3.81021833756935,292.313130987198,0,0,0,0,0,0,0,0,0,0,0,0,0
3.77452770192061,1296.07578000000,0,3.76057622812573,705.477156187056,0,3.76570849877033,485.447908364603,0,3.77280702222068,375.472691278778,0,3.78184963806297,309.508021045268,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75671444713661,1368.07999000000,0,3.74098816898332,744.670331530781,0,3.74368827572853,512.417236607081,0,3.74813216572013,396.33228523871,0,3.75446007767398,326.702911103339,0,0,0,0,0,0,0,0,0,0,0,0,0
3.74023747097216,1440.08420000000,0,3.72298607219863,783.863506874506,0,3.72348530932269,539.386564849559,0,3.7255257194616,417.191879198642,0,3.72923086177456,343.897801161409,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72499691105982,1512.08841000000,0,3.70644205768489,823.056682218231,0,3.7049602887185,566.355893092037,0,3.70483009110719,438.051473158574,0,3.70617316174409,361.09269121948,0,0,0,0,0,0,0,0,0,0,0,0,0
3.71089323099264,1584.09262000000,0,3.69122824170817,862.249857561957,0,3.68797431635302,593.325221334515,0,3.68589899223037,458.911067118506,0,3.68511754238056,378.28758127755,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69782703051075,1656.09683000000,0,3.67721789414644,901.443032905682,0,3.6723871805118,620.294549576992,0,3.66857607283135,479.770661078439,0,3.66589544056768,395.48247133562,0,0,0,0,0,0,0,0,0,0,0,0,0
