"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
4.2,0.,1,4.2,0.,2,4.2,0.,3,4.2,0.,4,4.2,0.,5,.864e-13,.900e-13,.120e-4,.48e-5,.19560e-1,.150e-1,.456,.48,.123684e-9,.16008e-9,.5580e-4,.258e-4
4.12411167597931,40.2499640508398,0,4.0588836122458,21.8967492748798,0,4.00230864205114,15.7798451140792,0,3.95071189738356,12.7218132235048,0,3.90169000808242,10.8870391128308,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1241116759793,80.4999281016797,0,4.0588836122458,43.7934985497596,0,4.00230864205114,31.5596902281584,0,3.95071189738356,25.4436264470097,0,3.90169000808242,21.7740782256616,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1241116759793,120.749892152519,0,4.0588836122458,65.6902478246394,0,4.00230864205114,47.3395353422376,0,3.95071189738356,38.1654396705145,0,3.90169000808241,32.6611173384923,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12411167597931,160.999856203359,0,4.0588836122458,87.5869970995191,0,4.00230864205114,63.1193804563168,0,3.95071189738356,50.8872528940193,0,3.90169000808241,43.5481564513231,0,0,0,0,0,0,0,0,0,0,0,0,0
4.12299870399711,201.249820254199,0,4.0588836122458,109.483746374399,0,4.00230864205114,78.899225570396,0,3.95071189738356,63.6090661175241,0,3.90169000808242,54.4351955641539,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08765439695521,241.499784305039,0,4.05888361224579,131.380495649279,0,4.00230864205114,94.6790706844752,0,3.95071189738356,76.330879341029,0,3.90169000808242,65.3222346769847,0,0,0,0,0,0,0,0,0,0,0,0,0
4.05399529473817,281.749748355879,0,4.0588836122458,153.277244924159,0,4.00230864205114,110.458915798554,0,3.95071189738356,89.0526925645338,0,3.90169000808241,76.2092737898154,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02310337705296,321.999712406719,0,4.05888361224579,175.173994199038,0,4.00230864205114,126.238760912634,0,3.95071189738356,101.774505788039,0,3.90169000808241,87.0963129026462,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99555622311606,362.249676457558,0,4.05888361224579,197.070743473918,0,4.00230864205114,142.018606026713,0,3.95071189738356,114.496319011543,0,3.90169000808242,97.983352015477,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97054603081934,402.499640508398,0,4.02731802749411,218.967492748798,0,4.00230864205114,157.798451140792,0,3.95071189738356,127.218132235048,0,3.90169000808241,108.870391128308,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9469751166552,442.749604559238,0,3.99326525315088,240.864242023678,0,4.00230864205114,173.578296254871,0,3.95071189738356,139.939945458553,0,3.90169000808241,119.757430241139,0,0,0,0,0,0,0,0,0,0,0,0,0
