"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
4.2,0.,1,4.2,0.,2,4.2,0.,3,4.2,0.,4,4.2,0.,5,.864e-13,.900e-13,.120e-4,.48e-5,.19560e-1,.150e-1,.456,.24,.123684e-9,.16008e-9,.5580e-4,.516e-4
4.13691084346636,72.0042100000000,0,4.08433603064483,47.5591472998986,0,4.04016564688744,32.268470354859,0,4.00062736086714,24.6243111991207,0,3.96322672024074,20.0381140663679,0,0,0,0,0,0,0,0,0,0,0,0,0
4.13691084346635,144.008420000000,0,4.08433603064483,95.1182945997972,0,4.04016564688744,64.5369407097181,0,4.00062736086714,49.2486223982415,0,3.96322672024074,40.0762281327357,0,0,0,0,0,0,0,0,0,0,0,0,0
4.13171297151066,216.012630000000,0,4.08433603064483,142.677441899696,0,4.04016564688744,96.8054110645771,0,4.00062736086714,73.8729335973622,0,3.96322672024074,60.1143421991036,0,0,0,0,0,0,0,0,0,0,0,0,0
4.10867346061057,288.016840000000,0,4.08433603064483,190.236589199594,0,4.04016564688744,129.073881419436,0,4.00062736086715,98.4972447964829,0,3.96322672024074,80.1524562654714,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08680243984942,360.021050000000,0,4.0627940639783,237.795736499493,0,4.04016564688745,161.342351774295,0,4.00062736086714,123.121555995604,0,3.96322672024074,100.190570331839,0,0,0,0,0,0,0,0,0,0,0,0,0
4.06653920693512,432.025260000000,0,4.03722744929107,285.354883799392,0,4.04016564688745,193.610822129154,0,4.00062736086714,147.745867194724,0,3.96322672024074,120.228684398207,0,0,0,0,0,0,0,0,0,0,0,0,0
4.04769808517838,504.029470000000,0,4.01311344362142,332.91403109929,0,4.01962009958753,225.879292484013,0,4.00062736086714,172.370178393845,0,3.96322672024074,140.266798464575,0,0,0,0,0,0,0,0,0,0,0,0,0
4.03011200098531,576.033680000000,0,3.99055400228667,380.473178399189,0,3.99473570235245,258.147762838872,0,4.00062736086714,196.994489592966,0,3.96322672024074,160.304912530943,0,0,0,0,0,0,0,0,0,0,0,0,0
4.01374311592862,648.037890000000,0,3.96978414529937,428.032325699087,0,3.97091088911211,290.416233193731,0,3.97814668826319,221.618800792087,0,3.96322672024074,180.343026597311,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99837010183963,720.042100000000,0,3.95045031367412,475.591472998986,0,3.94863392148679,322.68470354859,0,3.9531417039969,246.243111991207,0,3.96272659258414,200.381140663679,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98374031770889,792.046310000000,0,3.93205278657612,523.150620298885,0,3.92811420397649,354.953173903449,0,3.92931337040923,270.867423190328,0,3.93667802687763,220.419254730046,0,0,0,0,0,0,0,0,0,0,0,0,0
3.96961974546059,864.050520000000,0,3.91409293488597,570.709767598783,0,3.90891358865338,387.221644258308,0,3.90722721021835,295.491734389449,0,3.91145195788024,240.457368796414,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9557815890746,936.054730000000,0,3.89606826590837,618.268914898682,0,3.89051543877766,419.490114613167,0,3.88686067088645,320.116045588569,0,3.88768613783261,260.495482862782,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94200165421781,1008.05894000000,0,3.87747180310333,665.82806219858,0,3.87239606264182,451.758584968026,0,3.86768764107098,344.74035678769,0,3.86585221852909,280.53359692915,0,0,0,0,0,0,0,0,0,0,0,0,0
