"Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)","Volts (V)","Time (s)","Current (A)",Dsnref,Dspref,Rpn,Rpp,efn,efp,en,ep,knref,kpref,ln1,lp
4.2,0.,1,4.2,0.,2,4.2,0.,3,4.2,0.,4,4.2,0.,5,.864e-13,.450e-13,.120e-4,.96e-5,.39120e-1,.300e-1,.456,.48,.61842e-10,.8004e-10,.2790e-4,.516e-4
3.99806047231944,45.9197712279607,0,3.85869240600611,23.7839183210538,0,3.74047313975658,16.4046877262872,0,3.63072456962913,12.7115447111899,0,3.52209903353967,10.4906249113614,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99806047231944,91.8395424559214,0,3.85869240600611,47.5678366421077,0,3.74047313975658,32.8093754525744,0,3.63072456962913,25.4230894223797,0,3.52209903353988,20.9812498227228,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99806047231944,137.759313683882,0,3.85869240600611,71.3517549631615,0,3.74047313975658,49.2140631788615,0,3.63072456962913,38.1346341335696,0,3.52209903353989,31.4718747340842,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99806047231944,183.679084911843,0,3.85869240600611,95.1356732842153,0,3.74047313975658,65.6187509051487,0,3.63072456962913,50.8461788447595,0,3.52209903353988,41.9624996454456,0,0,0,0,0,0,0,0,0,0,0,0,0
3.98709368609853,229.598856139804,0,3.85869240600611,118.919591605269,0,3.74047313975658,82.0234386314359,0,3.63072456962913,63.5577235559494,0,3.52209903353988,52.453124556807,0,0,0,0,0,0,0,0,0,0,0,0,0
3.97130097839428,275.518627367764,0,3.85869240600611,142.703509926323,0,3.74047313975657,98.4281263577231,0,3.63072456962912,76.2692682671392,0,3.52209903353988,62.9437494681684,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9565375017518,321.438398595725,0,3.85869240600611,166.487428247377,0,3.74047313975658,114.83281408401,0,3.63072456962913,88.9808129783291,0,3.52209903353989,73.4343743795298,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94257816333638,367.358169823686,0,3.85869240600611,190.271346568431,0,3.74047313975657,131.237501810297,0,3.63072456962913,101.692357689519,0,3.52209903353987,83.9249992908912,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92923397722289,413.277941051647,0,3.85066884283472,214.055264889484,0,3.74047313975658,147.642189536585,0,3.63072456962913,114.403902400709,0,3.52209903353988,94.4156242022526,0,0,0,0,0,0,0,0,0,0,0,0,0
